date,equity,cash,invested,gross_pct,regime,n_positions
2024-03-01,2572281.29,0.0,2572281.29,1.0,多頭,11
2024-03-04,2593767.87,0.0,2593767.87,1.0,多頭,11
2024-03-05,2582176.88,0.0,2582176.88,1.0,多頭,11
2024-03-06,2596881.26,0.0,2596881.26,1.0,多頭,11
2024-03-07,2602349.58,0.0,2602349.58,1.0,多頭,11
2024-03-08,2502611.27,0.0,2502611.27,1.0,多頭,11
2024-03-11,2515341.87,0.0,2515341.87,1.0,多頭,11
2024-03-12,2522013.84,0.0,2522013.84,1.0,多頭,11
2024-03-13,2497245.64,0.0,2497245.64,1.0,多頭,11
2024-03-14,2469525.43,0.0,2469525.43,1.0,多頭,11
2024-03-15,2441486.68,0.0,2441486.68,1.0,多頭,11
2024-03-18,2515921.54,0.0,2515921.54,1.0,多頭,11
2024-03-19,2517369.84,0.0,2517369.84,1.0,多頭,11
2024-03-20,2509576.05,0.0,2509576.05,1.0,多頭,11
2024-03-21,2546459.3,0.0,2546459.3,1.0,多頭,11
2024-03-22,2556649.37,0.0,2556649.37,1.0,多頭,11
2024-03-25,2567335.38,0.0,2567335.38,1.0,多頭,11
2024-03-26,2529216.3,0.0,2529216.3,1.0,多頭,12
2024-03-27,2571800.26,0.0,2571800.26,1.0,多頭,13
2024-03-28,2545261.04,0.0,2545261.04,1.0,多頭,13
2024-03-29,2524384.36,0.0,2524384.36,1.0,多頭,12
2024-04-01,2526460.11,0.0,2526460.11,1.0,多頭,12
2024-04-02,2565711.5,0.0,2565711.5,1.0,多頭,12
2024-04-03,2558671.27,0.0,2558671.27,1.0,多頭,12
2024-04-08,2591741.13,0.0,2591741.13,1.0,多頭,12
2024-04-09,2571936.2,0.0,2571936.2,1.0,多頭,12
2024-04-10,2558891.83,0.0,2558891.83,1.0,多頭,12
2024-04-11,2508759.1,0.0,2508759.1,1.0,多頭,12
2024-04-12,2507877.27,0.0,2507877.27,1.0,多頭,12
2024-04-15,2435574.19,0.0,2435574.19,1.0,多頭,12
2024-04-16,2333613.73,187153.59,2146460.13,0.9198,盤整,11
2024-04-17,2374177.74,433715.72,1940462.02,0.8173,盤整,10
2024-04-18,2378062.8,713080.83,1664981.97,0.7001,盤整,10
2024-04-19,2321827.93,696708.34,1625119.59,0.6999,盤整,11
2024-04-22,2281443.75,684452.45,1596991.3,0.7,盤整,12
2024-04-23,2312566.82,820288.46,1492278.36,0.6453,盤整,11
2024-04-24,2431954.0,728365.46,1703588.54,0.7005,盤整,12
2024-04-25,2410853.63,728365.46,1682488.17,0.6979,盤整,12
2024-04-26,2422932.25,728365.46,1694566.79,0.6994,盤整,12
2024-04-29,2431666.56,0.0,2431666.56,1.0,多頭,14
2024-04-30,2419700.85,0.0,2419700.85,1.0,多頭,14
2024-05-02,2413493.13,724063.46,1689429.67,0.7,盤整,13
2024-05-03,2387539.16,0.0,2387539.16,1.0,多頭,15
2024-05-06,2413417.47,0.0,2413417.47,1.0,多頭,15
2024-05-07,2437082.03,0.0,2437082.03,1.0,多頭,15
2024-05-08,2440789.5,0.0,2440789.5,1.0,多頭,15
2024-05-09,2408241.79,0.0,2408241.79,1.0,多頭,15
2024-05-10,2390562.91,0.0,2390562.91,1.0,多頭,15
2024-05-13,2424208.4,0.0,2424208.4,1.0,多頭,15
2024-05-14,2418978.45,0.0,2418978.45,1.0,多頭,15
2024-05-15,2445000.46,0.0,2445000.46,1.0,多頭,15
2024-05-16,2480720.16,0.0,2480720.16,1.0,多頭,15
2024-05-17,2457254.94,0.0,2457254.94,1.0,多頭,15
2024-05-20,2413457.95,0.0,2413457.95,1.0,多頭,15
